Name
Aaron Rosenberg
Charles Seife
Charles Todd
Charles de Lint
Charlotte Hays
Cheri Huber
Chris Bachalo
Chris Chester
Chris Manby
Chris Offutt
Chris Riddell
Chris Seay
Chris Smith
Chris Van Dusen
Chris Ware
Chris Weston
Christina Scull
Christopher Andrew
Christopher Cokinos
Christopher Duncan
Christopher Gray
Christopher Hitchens
Christopher Isherwood
Christopher M. Clark
Christopher Moore
Christopher Pinney
Christopher Scarre
Christopher Tolkien
Chuck Palahniuk
Clayton M. Christensen
Clement Greenberg
Clint Willis
Clive Barker
Clive Cussler
Cody Goodfellow
Colin Duriez
Colin Wells
Colleen McCullough
Colm Toibin
Confucius
Cormac McCarthy
Cornel West
Cornelia Caroline Funke
Craig Dirgo
Crissy Trask
Cristanne Miller
Cynthia Harrod-Eagles
Cynthia Rylant
D. R. Lloyd
DC Talk (Musical group)
DK Publishing
Dale Peck
Dalya Bilu
Dan Birlew
Dan Brown
Dan Glover
Dan Harrington
Dan Millman
Dan Savage
Dan Simmons
Daniel B. Wallace
Daniel Clement Dennett
Daniel Defoe
Daniel Goleman
Daniel Horowitz
Daniel Jonah Goldhagen
Daniel Pinchbeck
Daniel T. Max
Daniel Wallace
Dante Alighieri
Darcy Frey
Daria Snadowsky
Dava Sobel
Dave Eggers
Dave McKean
David A. Jasen
David A. Neiwert
David Allen White
David B. Capes
David Baggett
David Barsamian
David Bellos
David Bodanis
David Bowie
David Cairns
David Chilton
David Colbert
David Dalton
David E. Kaiser
David Elliot
David Fishman
David Foster Wallace
David Gregory
David Grene
David Hackett Fischer
David Heinemeier Hansson
David John Chalmers
David K. Shipler
David Levithan
David Lubar
David M. Buss
David Mitchell
David Pogue
David R. Hawkins
David Salo
David Scott Kastan
David Thomas
David W. Mount
David Weisman
David Wood
Dean Koontz
Deanna Iris Sava
Deborah Esch
Deborah Noyes
Deborah Woodworth
Debra Garrison
Debra K. Marquart
Deirdre English
Delia Sherman
Deloris Jordan
Denis Johnson
Denise Little
Derek J. Balling
Desiring God
Diana Cooper
Diana Gabaldon
Diane Haeger
Don DeLillo
Don Ihde
Don Macmillan
Donald D. Stull
Donald Goines
Donald R. Gallo
Donald Spoto
Donald Trump
Donald Zochert
Donna Freitas
Doreen Cronin
Doris Kearns Goodwin
Dorothy E. Roberts
Doug Lansky
Doug Stanton
Douglas A. Anderson
Douglas Adams
Douglas Brinkley
Douglas C. Kenney
Douglas Coupland
Douglas R. Hofstadter
Douglas Stone
Dr. Phil McGraw
Drew Carey
Drew Karpyshyn
Dru Lavigne
E. D. A. Morshead
E. L. Doctorow
Echo L. Bodine
Eckhart Tolle
Eddie Campbell
Edgar Allan Poe
Edward F. Edinger
Edward S. Herman
Edward St. Aubyn
Edward T. Welch
Edward W. Said
Edwidge Danticat
Edwin M. Curley
Efraim Turban
Eileen Wilks
Elaine N. Marieb
Elaine Sciolino
Eleanor Estes
Eleonore Jonas
Eliot Asinof
Elisabeth Elliot
Elizabeth Clare Prophet
Elizabeth Economy
Elizabeth George
Elizabeth Gilbert
Elizabeth Haber
Elizabeth Hardwick
Elizabeth Noble
Elizabeth Plater-Zyberk
Elizabeth Wurtzel
Ellen Meloy
Emil Brunner
Emilie Rose
Emma Donoghue
Emma Holly
Eoin Colfer
Epictetus
Eric Bronson
Eric Chaisson
Eric Hansen
Eric Homberger
Eric Idle
Eric J. Hobsbawm
Eric Klinenberg
Eric Schlosser
Erica Jankovich
Erica Jong
Erich Fromm
Erika Tamar
Ernest Drake
Ernest Gordon Rupp
Ernest Hemingway
Esquilo
Esther Derby
Esther Perel
Euripides
Evan Solomon
Evan Thomas
F. Scott Fitzgerald
Faith D'Aluisio
Farah Mendlesohn
Fiona Stephen
Firoozeh Dumas
Foster Cline
Fran Warde
Francine Segan
Frank Kermode
Frank McCourt
Frank Quitely
Frank Warren
Frank Wedekind
Frankie Frankeny
Fred Anderson
Fred Goodman
Fred Pearce
Fred Saberhagen
Frederick C. Beiser
Frederick K. Goodwin
Frederick Lenz
Friedrich Nietzsche
Fritz R. Stern
Fyodor Dostoevsky
Fyodor Dostoyevsky
G. Richard Shell
G. S. Kirk
Gabriel Garcia Marquez
Gail Herman
Gale Gand
Galina Krasskova
Garrison Keillor
Garry Wills
Garth Ennis
Garth Nix
Gary L. Hardcastle
Gary Paulsen
Gary Russell
Gavin Menzies
Gayden Metcalfe
Gene Wolfe
Geneen Roth
Genevieve Morgan
Geoff Emerick
Geoffrey Chaucer
Geoffrey Miller
George A. Reisch
George Beahm
George Grant
George Lakoff
George Maximilian Anthony Grube
George Orwell
George Stalk
George Vithoulkas
Georges Bataille
Georges Perec
Gerald Bevan
Gerald Posner
Gerard Auzet
Gertrude S. Williams
Gia Bathory Al Babel
Giada De Laurentiis
Gina Smith
Giorgio De Santillana
Glen Merzer
Glen Strathy
Glenn Yeffeth
Gore Vidal
Govind Armstrong
Graeme Base
Graham Chapman
Grant Morrison
Gray Jolliffe
Greg Behrendt
Greg Keyes
Gregory Bassham
Gregory Maguire
Grif Stockley
Gustave Flaubert
Guy Ogilvy
H. Edwin Young
H. G. Bissinger
H. G. Wells
Ha Jin
Hans Christian Andersen
Hans Jonas
Harlan Ellison
Harriet Lerner
Harrison E. Livingstone
Haruki Murakami
Harvard Lampoon
Harvey Pekar
Harville Hendrix
Heather Jarman
Heidi Baker
Heidi Fleiss
Heidi Hayes Jacobs
Helen Fielding
Helen Keier
Helena Grice
Henepola Gunaratana
Henri Blocher
Henri J. M. Nouwen
Henry Beard
Henry Chadwick
Henry David Thoreau
Henry Fielding
Henry James
Henry L. Gates
Henry Mintzberg
Henry Rosemont
Henry Roth
Herbert Asbury
Herman Melville
Herman Wouk
Hermann Hesse
Hertha von Dechend
Hervie Haufler
Hiroki Endo
Hiromu Arakawa
Homer
Honore Balzac
Horace Walpole
Howard E. Covington
Howard F. Lyman
Howard Massey
Howard Zinn
Howell D. Chickering
Hubert Selby
Hugh Bicheno
Hugh Honour
Humphrey Carpenter
Hunter S. Thompson
Huston Smith
III
Iain Levison
Ian Edginton
Ian McEwan
Ian Thomson
Ian W. Toll
Inc
International Code Council
Iris Murdoch
Irvin D. Yalom
Irvin Yalom
Irving Drutman
Irving Stone
Isaac Asimov
Isaac Bashevis Singer
Isaac Kramnick
Isabel Allende
Isabel Sharpe
Ivan Reis
Iyanla Vanzant
J. Daniel Hays
J. E. Raven
J. Ed Komoszewski
J. K. Rowling
J. M. Coetzee
J. M. Jeffries
J. Maarten Troost
J. R. R. Tolkien
J. R. Ward
J. Scott Duvall
J. W. Rinzler
Jack Coulehan
Jack Kerouac
Jack Vance
Jacob E. Nyenhuis
Jacob Tilove
Jacqueline Ann
Jacqueline Carey
Jacqueline Winspear
James Baldwin
James Bradley
James Brodrick
James Campbell
James Clavell
James Craig Holte
James Davidson
James Fenimore Cooper
James G. Leyburn
James H. Ford
James Hawkins
James Hilton
James K. Beilby
James L. Roberts
James Luceno
James Mallory
James Matthew Barrie
James N. Frey
James Purdy
James Redfield
James Shreeve
James W. Loewen
James Wallace
James Wight
Jamie Jensen
Jamie Oliver
Jan Greenberg
Jane Green
Jane Haddam
Jane Jeong Trenka
Jane Moore
Jane Robins
Jane Smiley
Jane Walmsley
Janet Evanovich
Janet Fitch
Janet Flanner
Janet G. Woititz
Janny Wurts
Janwillem Van de Wetering
Jared M. Diamond
Jason E. King
Jason King
Jason T. Eberl
Jasper Fforde
Javier Cercas
Jay Jacobs
Jay Kopelman
Jay Parini
Jean Houston
Jean Nienkamp
Jean Stein
Jean-Paul Sartre
Jeanette Winterson
Jeannette Walls
Jeff Povey
Jeff Shaara
Jeff Smith
Jeff Speck
Jeff Youngquist
Jeffrey Eugenides
Jeffrey Fisher
Jeffrey Meyers
Jen Lancaster
Jenesha de Rivera
Jenna Jameson
Jennifer Hendricks
Jennifer Weiner
Jenny Wormald
Jeremy D. Zawodny
Jeremy Rifkin
Jerome K. Jerome
Jerome Karabel
Jerome Klapka Jerome
Jerry B. Jenkins
Jerry I. Porras
Jerry Jones
Jess Walter
Jessica Bird Ward
Jessica Porter
Jill Nelson
Jim Brandenburg
Jim Collins
Jim Erickson
Jim Fay
Jim Fergus
Jim LaMarche
Jim Murphy
Jim Toomey
Jim Wight
Jimmy Carter
Jincy Willett
Jm Stendhal
Jo Ann Robinson
Joan Aiken
Joan Didion
Joan Sinclair
Joan Torres
Joanna Weaver
Joanne Fluke
Joanne Harris
Joaquin Miller
Jodee Blanco
Jodi Picoult
Joe Haldeman
Joe Kubert
Joe Simpson
Joe W. Haldeman
Johanna Hurwitz
Johanna Rothman
John A. McDougall
John Alexander Guy
John Banville
John Barth
John Butman
John C. Maxwell
John Charles Chasteen
John Cleese
John Colapinto
John D'Emilio
John Diamond
John Downes
John E. Upledger
John Ehle
John Einarson
John Eisenhower
John F. Harris
John Fleming
John G. Cottingham
John Garth
John Gibson Warry
John Grigsby
John Irving
John Kay
John Keegan
John Knoll
John L. Coulehan
John Lewis Gaddis
John Lindow
John Lloyd
John M. Merriman
John Madison Cooper
John Martin Fischer
John Mason
John McCrea
John Miller
John Milton
John Nichols
John O'Donohue
John P. Diggins
John Perkins
John Perry
John Piper
John Ronald Reuel Tolkien
John S. D. Eisenhower
John Saul
John Shea
John Toews
John Walbridge
John Wilcockson
John Worthen
Jon Jefferson
Jon Kabat-Zinn
Jon Krakauer
Jon M. Gibson
Jon Meacham
Jon Stewart
Jonathan B. Parshall
Jonathan Carroll
Jonathan Franzen
Jonathan Kozol
Jonathan Lethem
Jonathan Safran Foer
Jonathan Warren
Joscelyn Godwin
Jose Luis Garcia-Lopez
Joseph Campbell
Joseph Cornell
Joseph Grenny
Joseph J. Ellis
Joseph Mary Leleu
Joseph McMoneagle
Joseph O'Connor
Joseph Wambaugh
Josepha Sherman
Josiah Bunting
Joss Whedon
Jostein Gaarder
Joyce Carol Oates
Joyce Meyer
Jude Fisher
Judith Butler
Judith Cornell
Judith Larner Lowry
Judith M. Meloy
Judith Thurman
Judith Viorst
Jules Verne
Julia Briggs
Julia Chinyere Oparah
Julia Moskin
Julie A. Schrader
Julie Aigner-Clark
Julie Garwood
Julie Phillips
Juliet Marillier
Juliette Aristides
Julius Caesar
June Casagrande
Justin Kaplan
K. Silem Mohammad
Kahlil Gibran
Karen Armstrong
Karen Kushner
Karen O'Connor
Karen Swenson
Karen Traviss
Karen Zeinert
Karl Barth
Kate Atkinson
Kate Braverman
Kate Chopin
Kate DiCamillo
Kate Horsley
Katherine Beckett
Katherine Hall Page
Kathleen A. Brehony
Kathleen De Grave
Kathleen Freeman
Kathleen Parkinson
Kathleen Rooney
Kathryn Hughes
Kathryn Lasky
Kathy Hicks
Kay Redfield Jamison
Keith Donohue
Kelly Carr
Ken Babbs
Kent R. Weeks
Kerrie Dougherty
Kerry Patterson
Kevin S. Decker
Kevin Trudeau
Kim Stanley Robinson
Kip S. Thorne
Kip Thorne
Kris E. Lane
Kristin Cast
Kristin Lund
Kuki Gallmann
Kurt Eichenwald
Kurt Vonnegut
Kurt Vonnegut Jr.
L. A. Banks
LaVonne Neff
Lan Samantha Chang
Lance Armstrong
Larbi Oukada
Larry Bossidy
Larry J. Sabato
Larry Sabato
Laura Bowers
Laura Buller
Laura Esquivel
Laura Rosenthal
Laura Schlessinger
Laurell K. Hamilton
Lauren Blitzer
Lauren Levin
Laurence Yep
Laurie Garrett
Laurie Notaro
Lawrence Sanders
Lawrence Sutin
Leah Wilson
Lee Stringer
Lee Strobel
Leinil Francis Yu
Leo Tolstoy
Leon Breedt
Leon Sciaky
Leonard Michaels
Leonard Mlodinow
Leonard Orr
Leonard Woolf
Leonardo
Les Standiford
Leslie Gross Portney
Lew Nichols
Libby Keatinge
Lidia Bastianich
Linda Lear
Lindsay Harrison
Lindsey Davis
Lisa See
Lisa Whelchel
Lloyd Alexander
Lois Beckwith
Lois Lowry
Lonn Friend
Lord Dunsany
Lorelei Powers
Lorna Landvik
Lorrie Moore
Lou Marinoff
Louis E. Catron
Louis Paul Priolo
Louisa May Alcott
Louise Fili
Ludwig Wittgenstein
Lynn Balzer-Martin
Lynn Keller
Lynn Willis
Lynne Ann DeSpelder
Lynne Truss
Lynnette Khalfani
Lyon Sprague De Camp
M. D. Roizen (Michael F.)
M. James Sawyer
M. M. Kaye
M. Schofield
M.A.
MD
Madeleine L'Engle
Malcolm Gladwell
Malcolm Godwin
Mansur Abdulin
Marc Dubin
Marc Parent
Marcia Angell
Margaret Atwood
Margaret Feinberg
Margaret George
Margaret Thaler Singer
Margaret Weis
Margo Culley
Marguerite Duras
Maria Coffey
Marian Keyes
Mariia
Marilyn Bader
Mario Puzo
Marion Crawford
Mark Bittman
Mark Buckingham
Mark Dawidziak
Mark Dunn
Mark Hoppus
Mark Kurlansky
Mark Levine
Mark Leyner
Mark Mazower
Mark Millar
Mark Mittelberg
Mark S. Smith
Mark Shepard
Mark Stevens
Mark Steyn
Mark T. Conard
Mark Twain
Mark Waid
Mark Wigan
Mark Zwonitzer
Marlene Parrish
Martha Grimes
Martha Heineman Pieper
Marthe Le Van
Martin E. P. Seligman
Martin Gilbert
Marvin N. Olasky
Mary Ashworth
Mary Doria Russell
Mary Ellen Snodgrass
Mary Fitt
Mary Gaitskill
Mary Higgins Clark
Mary Jane Maffini
Mary Jane Ross
Mary McDougall
Mary Miller
Mary P. Watkins
Mary Pope Osborne
Mary S. Lovell
Mary Shelley
Mary Westmacott
Mary Wollstonecraft Shelley
MaryJanice Davidson
Matt Morris
Matt Ridley
Matthew D. Selekman
Matthew J. Gibney
Matthew Scully
Matthew Sturges
Max Allan Collins
Maxine Swann
Maya Angelou
Meg Cabot
Megan McDonald
Megan McMorris
Mehmet C Oz
Melania G. Mazzucco
Melinda Roth
Melissa Jo Peltier
Melissa Painter
Melody Carlson
Mercedes Lackey
Merlin Donald
Miasha
Michael B. Oren
Michael Baur
Michael Bratman
Michael Chabon
Michael Connelly
Michael Cox
Michael Cunningham
Michael E. Doyle
Michael F Roizen
Michael F. Roizen
Michael Howard
Michael J. Bradley
Michael J. Broadway
Michael J. Mauboussin
Michael Littlefield
Michael M. Lewis
Michael Moorcock
Michael Moore
Michael Oates
Michael Palin
Michael Parenti
Michael Pollan
Michael Rossi
Michael Scammell
Michael Shaara
Michael Shinagel
Michael Streissguth
Michael W. Smith
Michale W. Perry
Michel Foucault
Michela Wrong
Michio Kaku
Mick Mars
Miep Gies
Miguel Serrano
Mike Dringenberg
Milan Kundera
Mircea Eliade
Miroslav Volf
Mistress
Mistress Lorelei
Mitch Albom
Mitsou Ronat
Moebius
Molly Bang
Murasaki Shikibu
Muriel Spark
Nadine Epstein
Nancy G. Siraisi
Nancy MacDonell
Nancy MacDonell Smith
Nancy McCampbell Grace
Nancy Milford
Napoleon Hill
Narendra Jadhav
Nassim Taleb
Natalie Dunbar
Natalie Goldberg
Natalie Pope Boyce
Nathaniel Branden
Nathaniel Philbrick
National Commission on Terrorist Attacks upon the United States
National Geographic Society (U.S.)
Neal Stephenson
Ned Vizzini
Neil Armstrong
Neil Cole
Neil D. Isaacs
Neil Gaiman
Neil Strauss
New Scientist
Niall Ferguson
Nicholas Johnson
Nicholas Murray
Nicholas Rinaldi
Nicholas Sparks
Nicholson Baker
Nick Cook
Nick Rennison
Nick Tosches
Nick Webb
Nicolas Tredell
Nicole Krauss
Nigella Lawson
Nikki Sixx
Noah Eli Gordon
Noah Gordon
Noam Chomsky
Noel Malcolm
Noire
Nora Roberts
Norah Vincent
Norma Goldman
Norman Mailer
Orson Scott Card
Ovid
Owen Jones
P. C. Cast
P. D. James
P. G. Wodehouse
P. T. Deutermann
P.D. James
Pablo Neruda
Paco Medina
Paco Underhill
Padraic Colum
Pamela Duncan Edwards
Pantelis Michelakis
Paola Cavalieri
Patricia A. McKillip
Patricia Bartlett
Patricia Justine Tumang
Patricia Wakefield
Patrick J. Moser
Patrick Larkin
Patrick M. Lencioni
Patrick McGrath
Patrick Robinson
Paul Auster
Paul Bowles
Paul Farmer
Paul Graham
Paul Hendrickson
Paul LaFarge
Paul Perry
Paul Pitchford
Paul R. Eddy
Paul Roche
Paul Simpson
Paul Theroux
Paulo Coelho
Pavel Tsatsouline
Pelham Grenville Wodehouse
Perseus
Pete McCarthy
Pete Mullins
Peter Abrahams
Peter Biskind
Peter Brown
Peter Conn
Peter D. Schiff
Peter G. Bolt
Peter Hulme
Peter J. Conn
Peter K. Smith
Peter Martins
Peter Mayle
Peter Meineck
Peter Menzel
Peter Moon
Peter Robinson
Peter Singer
Peter Smith
Peter Turchin
Peter Watson
Ph.D.
Phil Brucato
Phil Jimenez
Philip Gourevitch
Philip K. Dick
Philip Nel
Philip Norman
Philip Roth
Philip Saville Watson
Philippa Gregory
Phillip Lopate
Piers Anthony
Plato
Preston B. Nichols
Preston Peet
Prima Games
Professor Audre Lorde
Professor of General Literature J M Coetzee
Professor of Greek Literature and Culture and Fellow and Director of Studies in Classics Simon Goldhill
Python Bonkers
Quincy Jones
Rachael F. Heller
Rachel Cohn
Rachel Simon
Radcliffe G. Edmonds
Raffaella Nanetti
Rainer Funk
Rajiv Chandrasekaran
Ralph C. Wood
Ralph Leighton
Ram Charan
Ram Dass
Randy Leffingwell
Randy Shilts
Ravi Zacharias
Ray Bradbury
Ray Kryssing
Ray McAllister
Ray Monk
Ray Oldenburg
Raymond Carver
Raymond E. Feist
Rebecca R. Merrill
Rebecca Solnit
Rebecca St. James
Rebecca West
Rebecca York
Rene Steinke
Retha M. Warnicke
Rex Pickett
Reza Aslan
Richard A. Knaak
Richard Adams
Richard B. Alley
Richard Bauckham
Richard Brautigan
Richard Christiansen
Richard Curtis
Richard D. Bartlett
Richard D. Nelson
Richard Dawkins
Richard Dooling
Richard Gott
Richard Greene
Richard Hall
Richard Hollis
Richard Holmes
Richard Matheson
Richard P. Martin
Richard Phillips Feynman
Richard Platt
Richard Powers
Richard Preston
Richard Reeves
Richard Rhodes
Richard W. Bulliet
Richard Wright
Rick Bass
Rick Hicks
Rick Moody
Riki Anne Wilchins
Roald Dahl
Rob Bell
Rob Kidd
Robbie Stamp
Robert A. Dahl
Robert A. Johnson
Robert A. M. Stern
Robert Bauval
Robert Carroll
Robert Cullen
Robert D. Kaplan
Robert D. Putnam
Robert Dallek
Robert Frost
Robert Hutchinson
Robert Jordan
Robert L. O'Connell
Robert L. Wolke
Robert Lachenauer
Robert Leonardi
Robert Ludlum
Robert M. Pirsig
Robert M. Senkewicz
Robert Mason
Robert McCammon
Robert Nye
Robert P. Miles
Robert Penn Warren
Robert Siegel
Robert Silverberg
Robert Simpson
Roberts Liardon
Robin Davis
Robin McKinley
Robin Sharma
Robin Waterfield
Rodney Stark
Roger Highfield
Roger Penrose
Roger T. Ames
Roger Zelazny
Rohinton Mistry
Roland Barthes
Rolland Baker
Rolland Hein
Ron Chernow
Ron McMillan
Ron Rash
Ronald Bruce Flowers
Ronald Takaki
Ronna Johnson
Rosalind Miles
Rose A. Zimbardo
Rose Marie Beebe
Rosita Arvigo
Roslyn M. Jordan
Rumer Godden
Russell Banks
Russell Kick
Russell Shorto
Ruth Heller
Ruth Reichl
Ryotaro Shiba
Saint Augustine
Saint Augustine (Bishop of Hippo.)
Saint Augustine (of Hippo)
Saint Augustine of Hippo
Saint Thomas (Aquinas)
Salman Rushdie
Sam Johnson
Sam Shepard
Samuel Langhorne Clemens
Sandra Cisneros
Sandra Jane Jordan
Sandy Petersen
Sanyika Shakur
Sara Barton-Wood
Sara Gruen
Sara S.
Sarah Ban Breathnach
Sarah Dunant
Sarah Jessica Parker
Sarah K. Herz
Sarah Kay
Sarah M. Anderson
Sarah MacDonald
Satyajit Das
Saul A. Kripke
Scott Elledge
Scott Freeman
Scott Leonard
Scott Turow
Scott Westerfeld
Seamus Heaney
Sean B. Carroll
Sean Stewart
Seressia Glass
Seth Benardete
Shannon Holmes
Sharon Salzberg
Sharyn November
Shashi Tharoor
Shaun Tomson
Shawn Klein
Sheila Heen
Sheila Zenk
Shere Hite
Shifra Horn
Shirley Rousseau Murphy
Shiva Naipaul
Sigrid Nunez
Silas House
Simon Beecroft
Simon Gikandi
Simon Goldhill
Simon Singh
Simon Wells
Simon Winchester
Solomon Jones
Sophie Braimbridge
Sophocles
Soren Kierkegaard
Soun Vannithone
Spencer Johnson
Spencer Xavier Smith
Sri Nisargadatta Maharaj
Stacey Szklut
Staci Haines
Stacy Horn
Stacy Schiff
Stanley Bing
Starr Smith
Stefan Fatsis
Stella McNichol
Stendhal
Stephanie McCurry
Stephen Cox
Stephen E. Ambrose
Stephen Greenblatt
Stephen Hawking
Stephen Jay Gould
Stephen Jay Greenblatt
Stephen King
Stephen Kinzer
Stephen Leeb
Stephen Mark Rainey
Stephen McMillan
Stephen Minot
Stephen Pollan
Stephen R. Covey
Stephen R. Donaldson
Stephen R. Swinburne
Stephen W. Hawking
Steve Krug
Steve Martin
Steve Miller
Steve Perry
Steve Pieczenik
Steve Turner
Steve Wozniak
Steven Baur
Steven C. Hayes
Steven F. Hayward
Steven G. Kellman
Steven Heller
Steven Johnson
Steven Pinker
Steven Pressfield
Steven S. Gaines
Stewart Brand
Strawberry Saroyan
Stuart M. Matlins
Stuart Y. Silverstein
Sudhakar S. Dikshit
Sue Monk Kidd
Suketu Mehta
Suki Kim
Sun Yung Shin
Susan Carroll
Susan Forward
Susan Hill
Susan K. Harris
Susan R. Harris
Susanna Clarke
Sylvia Browne
Sylvia Plath
T. Coraghessan Boyle
T. E. Apter
T. R. Reid
Tad Williams
Tamora Pierce
Tanya Bastianich Manuali
Ted Hughes
Ted Steinberg
Teddy F. Bader
Tennessee Williams
Terry Brooks
Terry C. Johnston
Terry Eagleton
Terry Gilliam
Terry Goodkind
Terry Jones
Terry Lee Rioux
Terry Pratchett
Terry Taylor
Tess Gerritsen
Tess Uriza Holthe
The New York Times
The Writers of The Daily Show
Theodore Sasson
Thom Hartmann
Thomas Aquinas
Thomas Beller
Thomas Cahill
Thomas Clavin
Thomas G. Addington
Thomas Hobbes
Thomas Kinkade
Thomas L. Friedman
Thomas Paul Thigpen
Thomas Ryan
Thomas Sowell
Thomas V. Morris
Thomas Wolfe
Thucydides
Tim Ambler
Tim Burton
Tim F. LaHaye
Tim Flannery
Tim LaHaye
Tim Lahaye
Tim Woods
Timothy B. Tyson
Timothy Zahn
Todd Gitlin
Todd W.
Tom Clancy
Tom Delonge
Tom Hunt
Tom Perrotta
Tom Stoppard
Tom Wolfe
Tommy Lee
Toni Bentley
Toni Morrison
Tony Akins
Tony Parsons
Tony Robbins
Tracy Hickman
Travis Barker
Trevanian
Troy Howell
Trudi Canavan
Truman Capote
Tyler Florence
Umberto Eco
University Christopher Clark
Upton Sinclair
Ursula K. Le Guin
V. S. Ramachandran
Vasili Mitrokhin
Vera John-Steiner
Victor Davis Hanson
Victor Skrebneski
Victor and Lin Salamo editors Fischer
Victoria Finlay
Viktor Emil Frankl
Vince Neil
Vincent F. Hopper
Vincent Lardo
Virgil
Virginia A. Sadock
Virginia Woolf
Vladimir Nabokov
Vladimir Vladimirovich Nabokov
W. A. MacDevitt
W. Frederick Zimmerman
W. Haden Blackman
Walter Benjamin
Walter Isaacson
Walter J. Savitch
Walter Kirn
Warren Ellis
Wayne G. Broehl
Wayne G. Hammond
Wendy Mitchell
Wesley Martin
Wilbur Smith
Will Eisner
Will Kymlicka
William A. Cohen
William Anderson
William Blake
William C. Carter
William Easterly
William Goldman
William Howard Sherman
William Irwin
William James
William Jones
William Joseph Pieper
William L. Shirer
William M. Bass
William Morris
William Potter
William S. Burroughs
William Shakespeare
William Somerset Maugham
William Stacy Johnson
William Styron
William T. Rasmussen
William T. Vetterling
Wilson Rawls
Wole Soyinka
Xenophon
Yan Wong
Yoshitaka Amano
Yvon Chouinard
Zadie Smith
Zecharia Sitchin
Zora Neale Hurston
